행정구역별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
서울특별시,358260,358534,368583,355991,356575,343104,320193,308997,309267,296178
부산광역시,126411,131480,133629,133755,140700,129211,116449,110628,113138,113652
대구광역시,96265,97921,96186,95753,98897,86150,75016,72341,75797,72373
인천광역시,82870,89911,95270,94210,99915,100387,91385,86391,90608,88143
광주광역시,63672,67272,67969,64822,61234,54271,48213,43569,44274,43517
대전광역시,47473,45163,48484,47565,49593,49038,46988,45527,45167,44623
울산광역시,36848,37362,40848,41167,44569,39799,34912,32764,32780,31381
세종특별자치시,63054,67554,70573,71136,73409,72072,67276,68577,62666,61612
경기도,369543,385811,401963,404390,430790,476348,417066,388938,394276,394226
강원도,55061,59087,58533,53722,56928,58814,53171,45233,46096,44571
충청북도,48236,50477,52065,50857,53703,56179,50387,48315,48085,47864
충청남도,63054,67554,7057,71136,73409,72072,67276,68577,62666,61612
전라북도,58570,52200,59906,56642,57342,53375,48979,47944,48252,47446
전라남도,63780,63187,65888,63197,66643,62794,53892,50993,52698,51519
경상북도,90480,93072,98162,88938,91876,88059,80061,74356,77449,73762
경상남도,120418,112208,116609,1122253,118843,114410,100775,90267,96212,97998
제주특별자치도,24076,26284,31223,31254,33819,35003,31368,27427,26090,45596
